Name,Team,GP,Min,M-FG,A-FG,Pct-FG,M-3PT,A-3PT,Pct-3PT,M-FT,A-FT,Pct-FT,Off-Rb,Def-Rb,Tot-Rb,Ast,TO,Stl,Blk,PF,PPG
Langston Galloway,NY,75,24.5,2.8,6.9,40.1,0.9,2.7,35,1.1,1.4,76.7,0.5,3,3.5,2.3,0.7,0.9,0.3,2.2,7.6
Joffrey Lauvergne,DEN,53,17.5,3.2,6.2,51.5,0.2,0.9,26.5,1,1.1,89.5,1.4,3.6,4.9,0.9,0.8,0.2,0.2,2,7.6
E'Twaun Moore,CHI,55,21.1,3.2,6.5,49,0.8,1.7,45.2,0.4,0.6,62.9,0.3,1.9,2.2,1.7,0.9,0.6,0.3,1.7,7.6
D.J. Augustin,DEN,55,18.9,2.3,5.6,42.2,1.1,2.7,42.6,1.7,2.1,80.7,0.1,1.4,1.6,3.1,1.3,0.6,0.1,1.4,7.5
Festus Ezeli,GS,40,17.8,2.9,5.3,55.7,0,0,N/A,1.7,3.1,53.2,2.1,3.8,5.9,0.8,0.9,0.4,1.2,2.3,7.5
Ben McLemore,SAC,60,20.6,2.7,6.3,42.9,0.9,2.6,35.5,1.2,1.6,74,0.5,1.6,2,1.2,1.4,0.8,0.2,2.1,7.5
Garrett Temple,WAS,71,24.9,2.6,6.5,39.4,1.1,3.3,33.9,1.1,1.5,71.8,0.4,2.2,2.6,1.7,0.8,0.9,0.2,2.5,7.4
Toney Douglas,NO,52,18.6,2.5,6.5,39.1,1.2,3,39.2,1.1,1.4,80.8,0.3,1.7,2,2.3,0.9,1.1,0.1,2.2,7.4
Nick Young,LAL,54,19.1,2.3,6.9,33.9,1.4,4.4,32.5,1.2,1.4,82.9,0.3,1.5,1.8,0.6,0.6,0.4,0.1,0.9,7.3
Devin Harris,DAL,57,19.4,2.5,5.5,45.6,0.7,2.2,32.3,1.5,2.2,71.5,0.3,1.8,2.1,1.9,0.9,1,0.2,1.9,7.3
Darrell Arthur,DEN,67,21.8,3.1,6.8,45,0.6,1.6,36.5,0.6,0.7,76,1.2,2.9,4.1,1.4,1,0.8,0.7,2.6,7.3
P.J. Tucker,PHO,74,30.6,2.7,6.6,40.4,0.8,2.4,32.4,1.1,1.6,71.8,1.9,4.1,5.9,2,1.3,1.3,0.3,2.5,7.3
Danny Green,SA,72,26.3,2.7,7.1,37.5,1.4,4.4,33,0.5,0.6,75.6,0.6,3.3,3.9,1.8,1,1,0.8,1.7,7.3
Andre Iguodala,GS,60,26.8,2.8,5.8,48.4,0.9,2.4,35.6,0.8,1.4,61.7,0.8,3.3,4.1,3.4,1.2,1.2,0.3,1.6,7.3
Marreese Speights,GS,63,11.7,2.8,6.4,43.1,0.3,0.8,41.5,1.3,1.6,82.2,1.1,2.3,3.4,0.9,0.9,0.2,0.4,1.6,7.2
Frank Kaminsky,CHA,72,20.9,2.6,6.4,40.4,0.8,2.4,32.6,1.3,1.7,73.6,0.8,3.2,4,1.3,0.8,0.5,0.5,1.6,7.2
Jason Smith,ORL,67,15.6,3.2,6.6,48.9,0.1,0.2,26.7,0.8,1,79.7,0.7,2,2.7,0.8,0.8,0.4,0.8,2.2,7.2
Brandon Bass,LAL,65,20.3,2.6,4.8,55.2,0,0,0,1.9,2.2,84.8,1.6,2.8,4.3,1.1,0.6,0.5,0.8,1.9,7.2
Aaron Brooks,CHI,61,16.2,2.8,7,39.3,1,2.8,34.9,0.7,1,75,0.3,1.3,1.6,2.6,1.2,0.4,0.1,2,7.2
Amir Johnson,BOS,71,22.7,3.2,5.4,58.3,0.1,0.5,23.7,0.8,1.4,54.9,2.3,4,6.3,1.7,1.2,0.6,1.1,2.6,7.2
JaMychal Green,MEM,70,18,2.8,6,47.6,0.2,0.6,34.9,1.3,1.7,76.7,1.5,2.9,4.5,0.8,1,0.6,0.4,2.5,7.2
Brandon Jennings,ORL,43,18.2,2.4,6.5,36.7,1,3.3,31.9,1.3,1.8,74,0.3,1.7,2.1,3.4,1.2,0.6,0.1,1.1,7.1
Greivis Vasquez,MIL,16,22.6,2.4,7,34.8,0.9,3.4,25.9,1.4,1.6,88,0.3,2.1,2.3,4.4,1.9,0.4,0,2.1,7.1
John Henson,MIL,49,17,3,5,59.8,0,0,N/A,1.1,2,56.6,1.6,2.3,3.9,0.9,1.1,0.3,2,2.3,7.1
Shane Larkin,BKN,69,21.3,2.7,6.1,44.3,0.5,1.4,34.4,1,1.3,79.8,0.2,1.8,2,4.1,1.8,1.2,0.1,1.6,7
Patrick Patterson,TOR,71,25.3,2.6,6.2,42,1.4,3.8,36.7,0.4,0.4,87.1,0.9,3.4,4.3,1.1,0.8,0.6,0.4,1.7,7
Kris Humphries,ATL,46,16.6,2.5,6,41.8,0.7,2.2,32,1.3,1.6,82.2,1.2,3.3,4.5,0.7,0.7,0.3,0.5,1.9,7
Clint Capela,HOU,69,19.3,3,5.1,58.1,0,0,0,1.1,2.9,38.2,2.5,3.8,6.3,0.6,0.8,0.7,1.1,2.5,7
Bobby Portis,CHI,53,17.6,3,7,42.4,0.3,0.8,31.1,0.7,1.1,69.6,1.8,3.5,5.3,0.8,0.9,0.4,0.4,1.7,7
Donald Sloan,BKN,53,21.8,2.5,5.5,44.2,0.6,1.6,38.1,1.4,1.8,75,0.3,2.8,3.1,4.3,1.4,0.6,0.1,1.2,6.9
Brandan Wright,MEM,12,17.7,2.9,4.3,67.3,0,0,N/A,1.1,2,54.2,1.2,2.4,3.6,0.5,0.8,0.4,1.3,1.8,6.9
David West,SA,72,17.4,3.1,5.6,55,0,0.1,40,0.7,0.9,80.3,0.9,3,3.9,1.8,0.9,0.5,0.7,1.8,6.9
Willie Cauley-Stein,SAC,58,20.2,2.8,4.8,58.8,0,0,0,1.1,1.8,64.1,2,3.3,5.2,0.4,0.7,0.6,1,2.1,6.8
